speaker,island,word,intensity
JA,Mauke,vitiviti,70.84449718
JA,Mauke,viviki,69.24045383
JA,Mauke,viviki,66.85675922
MSC,Mauke,viviki,54.01879288
MSC,Mauke,viviki,59.9433944
JA,Mauke,viꞌiviꞌi,65.079901950000007
JA,Mauke,viꞌiviꞌi,63.80546863
JA,Mauke,vā,59.83168536
JA,Mauke,vāvia,63.63187745
JA,Mauke,vāvia,71.0878581
JA,Mauke,vāvia,65.72240724
JA,Mauke,vāvia,70.43814618
MM,Mauke,vāvie,73.66564506
MM,Mauke,vāvie,74.28813654
JA,Mauke,vāvā,66.18733151
JA,Mauke,vāvā,68.92049431
JA,Mauke,vāvā,53.20681696
JA,Mauke,vāvā,63.23939212
JE,Mauke,vēꞌi,43.09522711
JE,Mauke,vēꞌi,43.09522711
JE,Mauke,vēꞌi,43.45090355
JE,Mauke,vēꞌi,43.45090355
JE,Mauke,vēꞌī,47.71697819
JE,Mauke,vēꞌī,47.71697819
JE,Mauke,vēꞌī,46.12773552
JE,Mauke,vēꞌī,46.12773552
JE,Mauke,vēꞌī,42.63317853
JE,Mauke,vēꞌī,42.63317853
JE,Mauke,vēꞌī,NA
JE,Mauke,vēꞌī,40.25220164
JE,Mauke,vēꞌī,NA
JE,Mauke,vēꞌī,40.25220164
JE,Mauke,vēꞌī,44.52002651
JE,Mauke,vēꞌī,44.52002651
JA,Mauke,vī,64.68891263
JE,Mauke,ꞌakarevaꞌia,65.2493847
JE,Mauke,ꞌakarevaꞌia,64.39327836
JE,Mauke,ꞌakarevaꞌia,59.0343979
JE,Mauke,ꞌakarevaꞌia,62.42611623
JA,Mauke,ꞌakavaꞌavaꞌa,69.55848265
JA,Mauke,ꞌakavaꞌavaꞌa,63.45704366
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,69.07529871
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,68.19423598
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,64.84900539
JA,Mauke,ꞌakavaꞌavaꞌaꞌia,68.30861913
JA,Mauke,ꞌakavaꞌavaꞌva,63.45366928
JA,Mauke,ꞌakavaꞌavaꞌva,65.37936243
JA,Mauke,ꞌakavaꞌavaꞌva,63.19076832
MSC,Mauke,ꞌavaiki,48.83759371
MSC,Mauke,ꞌavaiki,43.79808648
MSC,Mauke,ꞌavaiki,56.287877
JA,Mauke,ꞌānēnevaꞌia,65.38226447
JA,Mauke,ꞌārāvei,61.77989014
JA,Mauke,ꞌārāvei,63.71752668
JA,Mauke,ꞌārāvei,70.49913304
JA,Mauke,ꞌāvata,60.36234449
JA,Mauke,ꞌāviri,71.51323204
BPT,Penrhyn,iva,56.92299954
BPT,Penrhyn,iva,55.79775209
BPT,Penrhyn,ivi,57.22991349
BPT,Penrhyn,ivi,57.77213594
BPT,Penrhyn,ivi,59.10126818
BPT,Penrhyn,ivi,53.64564467
BPT,Penrhyn,ivi,48.70063397
BPT,Penrhyn,ivi,57.68937487
BPT,Penrhyn,ivi,57.09261711
BPT,Penrhyn,kave,44.85854898
BPT,Penrhyn,kiva,45.36631081
BPT,Penrhyn,mākave,61.48731736
BPT,Penrhyn,nukuteveri,51.27771753
BPT,Penrhyn,rava,58.34005711
BPT,Penrhyn,rava,61.05925601
BPT,Penrhyn,rava,61.53087159
BPT,Penrhyn,rava,60.41849665
BPT,Penrhyn,rava,55.93618667
BPT,Penrhyn,rava,56.82787172
BPT,Penrhyn,rava,60.95966959
BPT,Penrhyn,rava,57.07831634
BPT,Penrhyn,rava,60.38664198
BPT,Penrhyn,rava,59.31413158
BPT,Penrhyn,rava,40.45632049
BPT,Penrhyn,rava,41.00019485
BPT,Penrhyn,rava,49.40478555
BPT,Penrhyn,rava,37.43775444
BPT,Penrhyn,rava,43.70193866
BPT,Penrhyn,rava,38.10400615
BPT,Penrhyn,rava,36.92277718
BPT,Penrhyn,ravakai,43.15205883
BPT,Penrhyn,ravakai,45.28081447
BPT,Penrhyn,ravakai,39.35964758
BPT,Penrhyn,ravakai,38.66290297
BPT,Penrhyn,ravakai,31.56377803
BPT,Penrhyn,ravakai,45.5601819
BPT,Penrhyn,ravarava,57.23782388
BPT,Penrhyn,ravarava,36.73355224
BPT,Penrhyn,rave,58.47377136
BPT,Penrhyn,rave,60.45301952
BPT,Penrhyn,rave,55.1876636
BPT,Penrhyn,rave,42.20559579
BPT,Penrhyn,rave,50.94742202
BPT,Penrhyn,rave,43.2130405
BPT,Penrhyn,rave,46.50390823
BPT,Penrhyn,rave,41.38583025
BPT,Penrhyn,ravenga,56.92533462
BPT,Penrhyn,ravenga,56.80985692
BPT,Penrhyn,ravenga,62.97754163
BPT,Penrhyn,ravenga,60.82922312
BPT,Penrhyn,ravenga,65.48486511
BPT,Penrhyn,raverave,55.39611495
BPT,Penrhyn,raverave,56.54212512
BPT,Penrhyn,raveꞌanga,61.88195376
BPT,Penrhyn,raveꞌanga,54.38414868
BPT,Penrhyn,raveꞌanga,59.12137231
BPT,Penrhyn,raveꞌia,41.0834437
BPT,Penrhyn,rāvenga,56.1847685
BPT,Penrhyn,rāvenga,58.7849288
BPT,Penrhyn,rāvenga,57.95896098
BPT,Penrhyn,rāvenga,62.76656527
BPT,Penrhyn,rāvenga,59.59655333
BPT,Penrhyn,rāvenga,56.8674613
BPT,Penrhyn,rāvenga,39.38369534
BPT,Penrhyn,rāvenga,41.20134398
BPT,Penrhyn,rāvenga,35.78666651
BPT,Penrhyn,rāvenga,43.60150703
BPT,Penrhyn,rāvenga,47.81740945
BPT,Penrhyn,rāvenga,49.0933429
BPT,Penrhyn,tumutevarovaro,48.26146024
BPT,Penrhyn,tumutevarovaro,39.31340168
BPT,Penrhyn,tūrāvaꞌo,44.20497084
BPT,Penrhyn,vaerua,58.18706916
BPT,Penrhyn,vaerua,43.530748440000004
BPT,Penrhyn,vaerua,45.04249518
BPT,Penrhyn,vai,59.98042131
BPT,Penrhyn,vai,54.39111882
BPT,Penrhyn,vai,54.19106739
BPT,Penrhyn,vai,53.1939389
BPT,Penrhyn,vai,56.96777373
BPT,Penrhyn,vai,54.70829895
BPT,Penrhyn,vai,56.08924566
BPT,Penrhyn,vai,52.9111211
BPT,Penrhyn,vai,36.04849692
BPT,Penrhyn,vai,49.98406794
BPT,Penrhyn,vai,42.56053632
BPT,Penrhyn,vai,35.52920297
BPT,Penrhyn,vai,34.87160861
BPT,Penrhyn,vai,43.96152386
BPT,Penrhyn,vai,46.37939348
BPT,Penrhyn,vai,51.04056788
BPT,Penrhyn,vaiau,39.36207601
BPT,Penrhyn,vaiau,52.96100782
BPT,Penrhyn,vairanga,56.01495057
BPT,Penrhyn,vairanga,56.81565659
BPT,Penrhyn,vairanga,52.40909674
BPT,Penrhyn,vaitata,49.77139656
BPT,Penrhyn,vaitata,58.44197258
BPT,Penrhyn,vaitata,52.54334818
BPT,Penrhyn,vaitata,50.32399745
BPT,Penrhyn,vaitata,53.60514465
BPT,Penrhyn,vaitata,55.23662781
BPT,Penrhyn,vaitata,48.06656658
BPT,Penrhyn,vaitata,54.75893408
BPT,Penrhyn,vaitata,52.20762048
BPT,Penrhyn,vaitata,51.50425414
BPT,Penrhyn,vaitata,50.99085031
BPT,Penrhyn,vaitata,53.3627867
BPT,Penrhyn,vaitata,52.02688648
BPT,Penrhyn,vaitata,55.40157978
BPT,Penrhyn,vaiti,31.25765873
BPT,Penrhyn,vaitoꞌanga,55.51405276
BPT,Penrhyn,vaitoꞌanga,57.21626729
BPT,Penrhyn,vaitoꞌia,62.59273141
BPT,Penrhyn,vaiꞌī,53.28901831
BPT,Penrhyn,vaiꞌī,56.99211409
BPT,Penrhyn,vaiꞌī,57.38549022
BPT,Penrhyn,vaka,64.2104426
BPT,Penrhyn,vaka,50.80002844
BPT,Penrhyn,vaka,46.19954957
BPT,Penrhyn,vaka,51.16278708
BPT,Penrhyn,vaka,49.20575372
BPT,Penrhyn,vaka,47.74527788
BPT,Penrhyn,vaka,48.63645838
BPT,Penrhyn,vaka,39.88671498
BPT,Penrhyn,vaka,47.67310949
BPT,Penrhyn,vaka,51.29828265
BPT,Penrhyn,varu,58.65747337
BPT,Penrhyn,vaꞌine,50.91766941
BPT,Penrhyn,vaꞌine,52.92167932
BPT,Penrhyn,vaꞌine,55.59490666
BPT,Penrhyn,vaꞌine,53.53154583
BPT,Penrhyn,vaꞌine,52.1261963
BPT,Penrhyn,vaꞌine,46.81457395
BPT,Penrhyn,vaꞌine,47.3011313
BPT,Penrhyn,vaꞌine,49.44755068
