island,word,f0_20,f0_50,f0_80,duration,intensity
Mauke,vavia,272.7398643,271.1397035,269.4503258,0.03,76.2465234
Mauke,vaꞌa,273.4506198,276.2734824,279.0569042,0.04,73.50972491
Mauke,vaꞌine,152.7630104,162.7439975,183.9771685,0.07,61.60228627
Mauke,vaꞌine,154.7343005,164.1496971,178.1672999,0.07,54.41418992
Mauke,vaꞌine,136.624234,148.5622426,170.0862551,0.09,62.48959113
Mauke,vaꞌine,140.6296458,149.0833045,161.6926714,0.05,64.29105198
Mauke,vaꞌine,164.7770975,171.5065817,191.585314,0.07,65.00128735
Mauke,vaꞌine,186.9425904,189.878489,204.0392889,0.07,65.10140767
Mauke,vaꞌine,144.661241,150.9435821,161.0891386,0.09,61.38332828
Mauke,vaꞌine,177.4930668,191.6160309,224.044431,0.08,55.40768186
Mauke,vaꞌine,171.9244322,192.7419213,223.936594,0.06,55.98420838
Mauke,vaꞌine,189.3858547,197.786202,229.926583,0.09,56.97362944
Mauke,vaꞌine,224.3042576,233.5972375,258.3289147,0.09,58.82033719
Mauke,vaꞌine,160.920783,176.6685949,214.9455222,0.08,55.41350923
Mauke,vaꞌine,168.8044134,184.8533728,223.3442252,0.08,56.84646027
Mauke,vaꞌine,154.1438429,159.5355683,200.3310545,0.09,57.69901498
Mauke,vaꞌine,166.0450586,175.2824025,214.1207447,0.09,57.10732373
Mauke,vaꞌine,193.4258717,191.1577969,207.7691223,0.07,56.32198725
Mauke,vaꞌine,168.7770846,173.9355577,206.7790128,0.1,52.91817533
